UNIQUD,NAME,Fold change (Stage1 DAM to Stage2 DAM),Z-value (Mann Whitney), -log10(p-value) Mann Whitney
0610005C13Rik,0610005C13Rik,0,,
0610007C21Rik,0610007C21Rik,-0.0998,-5.6875,7.8897
0610007L01Rik,0610007L01Rik,-0.0313,-3.2483,2.9352
0610007P08Rik,0610007P08Rik,0.0009,-1.3672,0.7655
0610007P14Rik,0610007P14Rik,-0.0353,-2.6116,2.0452
0610007P22Rik,0610007P22Rik,0.03,-0.7735,0.3573
0610008F07Rik,0610008F07Rik,0,,
0610009B14Rik,0610009B14Rik,0,,
0610009B22Rik,0610009B22Rik,-0.009,-2.5046,1.9115
0610009D07Rik,0610009D07Rik,0.0046,-3.3256,3.0545
0610009E02Rik,0610009E02Rik,-0.0026,-1.431,0.8169
0610009L18Rik,0610009L18Rik,0.0017,0.6927,0.3111
0610009O20Rik,0610009O20Rik,0.0201,-1.4311,0.817
0610010F05Rik,0610010F05Rik,0.0196,-0.2746,0.1059
0610010K14Rik,0610010K14Rik,0.1101,-0.5092,0.2142
0610010O12Rik,0610010O12Rik,-0.0222,-1.431,0.8169
0610011F06Rik,0610011F06Rik,-0.0177,-1.0557,0.5359
0610011L14Rik,0610011L14Rik,0.0157,-0.6511,0.2882
0610012D04Rik,0610012D04Rik,0,,
0610012G03Rik,0610012G03Rik,-0.1908,-4.3887,4.9429
0610012H03Rik,0610012H03Rik,0,,
0610025J13Rik,0610025J13Rik,0,,
0610030E20Rik,0610030E20Rik,0.0115,-1.1603,0.6092
0610031J06Rik,0610031J06Rik,-0.2358,-7.9279,14.6519
0610037L13Rik,0610037L13Rik,0.0171,-1.883,1.224
0610037P05Rik,0610037P05Rik,-0.031,-3.7875,3.8176
0610038L08Rik,0610038L08Rik,0,,
0610038P03Rik,0610038P03Rik,0,,
0610039K10Rik,0610039K10Rik,0,,
0610040B09Rik,0610040B09Rik,0,,
0610040B10Rik,0610040B10Rik,0,,
0610040F04Rik,0610040F04Rik,0,,
0610040J01Rik,0610040J01Rik,-0.0876,-3.52,3.3649
0610043K17Rik,0610043K17Rik,0.0083,0.6927,0.3111
0910001L09Rik,0910001L09Rik,-0.1314,-5.5864,7.6349
1010001B22Rik,1010001B22Rik,0,,
1010001N08Rik,1010001N08Rik,0,,
1100001G20Rik,1100001G20Rik,0,,
1110001A16Rik,1110001A16Rik,0.1022,-1.8106,1.1536
1110001J03Rik,1110001J03Rik,-0.0138,-3.1054,2.7211
1110002B05Rik,1110002B05Rik,0.0848,-1.762,1.1075
1110002E22Rik,1110002E22Rik,0,,
1110002J07Rik,1110002J07Rik,0,,
1110002L01Rik,1110002L01Rik,0,,
1110002N22Rik,1110002N22Rik,-0.0092,-1.0454,0.5289
1110003E01Rik,1110003E01Rik,-0.0629,-4.3522,4.8704
